Word,Score
"1,200",2125.1625989034187
"1,500",2115.573943599461
"100,000",2097.7915965805664
"1,400",2094.0096026205692
"10,000",2074.861862294281
"20,000",2061.4089151957296
"1,000",2051.932128007995
"2,000",2038.4791809094438
"3,000",2036.1569769200644
"4,000",2007.3261846265946
",",1873.5297728688786
p.m,1870.7525878860406
a.m,1852.2365268732424
.,1852.2365268732424
;,1571.5344720689734
&,1547.0429952031288
yellow-and-blue,774.6351962472953
curriculum,771.134403717421
pre-1967,738.348021058207
minister-without-portfolio,735.7460747546379
four-year-old,680.3520190396675
13-year-old,655.7179931079642
18-year-old,646.4100894001332
unusual,606.9710961660928
infrastructure,588.8450311298127
agricultural,585.9014997326345
successfully,581.1317599611938
),580.0391173639043
(,575.072324602255
agriculture,573.2375390609745
:,563.297320378666
ultra-orthodox,555.1945244208879
successful,541.561993308068
cultural,536.2239399463306
subsequently,524.6969381056338
structure,523.7752270760062
culture,523.5599792746705
secretary-general,521.1235461666428
underground,520.7543343847111
unfortunately,516.3425299855012
manufacturing,511.8505424366433
ben-gurion,507.9941308481773
continuously,496.04676056949614
'',494.4660826745373
director-general,494.21774018517715
courageous,493.88275795338734
surrounding,493.84852840324555
surroundings,493.84852840324555
surrounded,491.27298818749205
simultaneously,490.84249258482043
undoubtedly,487.89858679232566
subsequent,485.12717145250804
1967,480.138013336321
beautiful,474.00577466091795
murderous,471.6841873221157
bureau,468.5250337282851
exclusively,467.8882363948465
entrepreneur,467.27610624866213
1979,465.6064654157335
us-israel,461.8678895780768
upsurge,460.30777921229515
continuous,456.4769939163704
unacceptable,454.8983570785076
numerous,451.48797373303046
pursue,450.41523388045255
president-elect,450.1770329386753
usually,444.34788573797846
2017,441.0826561505346
unprecedented,439.79711709362937
future,437.59516160162275
suspicious,435.81545319841604
all-out,434.7468357952753
unexpected,433.96492216214153
reconstruction,432.43969234478635
exclusive,428.3184697417207
covid-19,426.308641460002
circumstance,425.156916778839
pursuit,423.509427898987
attorney-general,421.9304868422012
unique,421.5955046104115
consequence,416.5738207306369
republican,415.68652579761283
executive,415.65450907006056
throughout,414.88591221803114
particularly,411.9208391977273
accountable,409.47649008424344
large-scale,407.72287108253767
lecturer,407.6466234947344
groundbreaking,407.1579589459213
repercussion,406.1817187197832
al-quds,405.06961447399203
mutual,404.77811908485273
usual,404.77811908485273
israeli-palestinian,403.4329487403559
israel-palestinian,403.4329487403559
currently,400.32961837864497
republic,396.0977249322365
executed,395.8600602839666
execute,395.8600602839666
encountered,394.3752500993653
occurred,393.2620906140335
11-day,392.2294308336816
museum,392.1141584131925
iranian-backed,390.0778436389621
execution,388.54305516787724
second-largest,387.7419052947885
underscored,387.66565770698475
underscore,387.66565770698475
procedure,386.59291785440683
accountability,382.5706841027779
counterpart,379.27591273831763
accuracy,378.6623099319968
regularly,378.11208974434646
colleague,377.53890657077943
surrender,375.35963240755586
well-known,375.2938495498216
august,375.1008977635695
constructed,373.06587702494824
influence,372.9501850505325
influenced,372.9501850505325
concluded,372.85062922361254
requirement,372.3729692664023
particular,372.35107254460144
occupier,371.9931371723703
recruiting,370.6523970573617
publicly,368.976671149435
excuse,368.9542543025009
resource,368.07685684160845
revolutionary,368.03302741084826
uncovered,367.675092038617
succeeded,367.5036736680416
encounter,367.4694441178996
unnecessary,367.4694441178996
announcement,366.8620313941907
persecution,366.3967042653216
crucial,366.1410368312321
construction,365.74887190885903
conclusion,365.5336241075232
background,363.07683206666565
rubber,362.33173282751403
1982,362.1103293130653
furthermore,361.4668202761481
hurricane,360.7598517255191
current,360.7598517255191
nuclear,360.5446039241834
unclear,360.5446039241834
launcher,360.5446039241834
encouraging,360.34872880011915
contributing,360.1762383474418
prosecutor,359.6871118729413
producer,359.6871118729413
breakthrough,358.0878118833259
encourage,357.77318858436576
encourages,357.77318858436576
encouraged,357.77318858436576
contributed,357.6006981316885
contribute,357.6006981316885
disturbance,357.6006981316885
ambulance,357.3854503303526
murderer,355.7708315421794
israeli-arab,355.67458867730574
literature,355.55558374084364
